"GrowthTemp","Substrate","Day","CO2","Strain","Generation","EvolTemp"
22,"R",21,0.006472296,"MM20","A","16"
16,"L",1,0.000584184,"MM20","B","16"
16,"L",7,0.066377184,"MM20","B","16"
16,"L",14,0.095540112,"MM20","B","16"
16,"L",21,0.043721256,"MM20","B","16"
16,"R",1,0.001075824,"MM20","B","16"
16,"R",7,0.003100224,"MM20","B","16"
16,"R",14,0.004002528,"MM20","B","16"
16,"R",21,0.00355716,"MM20","B","16"
22,"L",1,0.002365656,"MM20","B","16"
22,"L",7,0.135681072,"MM20","B","16"
22,"L",14,0.101919864,"MM20","B","16"
22,"L",21,0.087766416,"MM20","B","16"
22,"R",1,0.00237144,"MM20","B","16"
22,"R",7,0.005043648,"MM20","B","16"
22,"R",14,0.005136192,"MM20","B","16"
22,"R",21,0.004152912,"MM20","B","16"
16,"L",1,0.00095436,"MM20","C","16"
16,"L",7,0.031540152,"MM20","C","16"
16,"L",14,0.11157336,"MM20","C","16"
16,"L",21,0.075602664,"MM20","C","16"
16,"R",1,0.001839312,"MM20","C","16"
16,"R",7,0.001509624,"MM20","C","16"
16,"R",14,0.003776952,"MM20","C","16"
16,"R",21,0.001671576,"MM20","C","16"
22,"L",1,0.00728784,"MM20","C","16"
22,"L",7,0.036173136,"MM20","C","16"
22,"L",14,0.169291896,"MM20","C","16"
22,"L",21,0.077083368,"MM20","C","16"
22,"R",1,0.006749928,"MM20","C","16"
22,"R",7,0.00341256,"MM20","C","16"
22,"R",14,0.008982552,"MM20","C","16"
22,"R",21,0.003695976,"MM20","C","16"
16,"L",1,0.0017352,"MM20","F","16"
16,"L",7,0.076048032,"MM20","F","16"
16,"L",14,0.092191176,"MM20","F","16"
16,"L",21,0.050575296,"MM20","F","16"
16,"R",1,0.004228104,"MM20","F","16"
16,"R",7,0.005257656,"MM20","F","16"
16,"R",14,0.005789784,"MM20","F","16"
16,"R",21,0.003348936,"MM20","F","16"
22,"L",1,0.008323176,"MM20","F","16"
22,"L",7,0.200999784,"MM20","F","16"
22,"L",14,0.046393464,"MM20","F","16"
22,"L",21,0.05616264,"MM20","F","16"
22,"R",1,0.0059286,"MM20","F","16"
22,"R",7,0.008132304,"MM20","F","16"
22,"R",14,0.004505736,"MM20","F","16"
22,"R",21,0.005500584,"MM20","F","16"
16,"L",1,0.004476816,"MM20","B","22"
16,"L",7,0.13502748,"MM20","B","22"
16,"L",14,0.225680112,"MM20","B","22"
16,"L",21,0.080038992,"MM20","B","22"
16,"R",1,0.004696608,"MM20","B","22"
16,"R",7,0.007796832,"MM20","B","22"
16,"R",14,0.003800088,"MM20","B","22"
16,"R",21,0.001318752,"MM20","B","22"
22,"L",1,0.010428552,"MM20","B","22"
22,"L",7,0.215899368,"MM20","B","22"
22,"L",14,0.161628096,"MM20","B","22"
22,"L",21,0.083324304,"MM20","B","22"
22,"R",1,0.007363032,"MM20","B","22"
22,"R",7,0.006119472,"MM20","B","22"
22,"R",14,0.005859192,"MM20","B","22"
22,"R",21,0.002215272,"MM20","B","22"
16,"L",1,0.004476816,"MM20","C","22"
16,"L",7,0.13502748,"MM20","C","22"
16,"L",14,0.225680112,"MM20","C","22"
16,"L",21,0.080038992,"MM20","C","22"
16,"R",1,0.004696608,"MM20","C","22"
16,"R",7,0.007796832,"MM20","C","22"
16,"R",14,0.003753816,"MM20","C","22"
16,"R",21,0.00127248,"MM20","C","22"
22,"L",1,0.010428552,"MM20","C","22"
22,"L",7,0.215899368,"MM20","C","22"
22,"L",14,0.161917296,"MM20","C","22"
22,"L",21,0.083324304,"MM20","C","22"
22,"R",1,0.007363032,"MM20","C","22"
22,"R",7,0.006119472,"MM20","C","22"
22,"R",14,0.005859192,"MM20","C","22"
22,"R",21,0.002215272,"MM20","C","22"
16,"L",1,0.003030816,"MM20","F","22"
16,"L",7,0.070194624,"MM20","F","22"
16,"L",14,0.141667512,"MM20","F","22"
16,"L",21,0.066724224,"MM20","F","22"
16,"R",1,0.003690192,"MM20","F","22"
16,"R",7,0.005622048,"MM20","F","22"
16,"R",14,0.003447264,"MM20","F","22"
16,"R",21,0.006240936,"MM20","F","22"
22,"L",1,0.005165112,"MM20","F","22"
22,"L",7,0.203110944,"MM20","F","22"
22,"L",14,0.108664008,"MM20","F","22"
22,"L",21,0.065150976,"MM20","F","22"
22,"R",1,0.009098232,"MM20","F","22"
22,"R",7,0.007334112,"MM20","F","22"
22,"R",14,0.011273016,"MM20","F","22"
22,"R",21,0.002302032,"MM20","F","22"
16,"L",1,0.001393944,"MM23","A","16"
16,"L",7,0.074399592,"MM23","A","16"
16,"L",14,0.187274352,"MM23","A","16"
16,"L",21,0.079605192,"MM23","A","16"
16,"R",1,0.00425124,"MM23","A","16"
16,"R",7,0.00740352,"MM23","A","16"
16,"R",14,0.00856032,"MM23","A","16"
16,"R",21,0.008427288,"MM23","A","16"
22,"L",1,0.001931856,"MM23","A","16"
22,"L",7,0.253535856,"MM23","A","16"
22,"L",14,0.138104568,"MM23","A","16"
22,"L",21,0.052056,"MM23","A","16"
22,"R",1,0.008728056,"MM23","A","16"
22,"R",7,0.010590504,"MM23","A","16"
22,"R",14,0.007241568,"MM23","A","16"
22,"R",21,0.005593128,"MM23","A","16"
16,"L",1,0.010925976,"MM24","A","16"
16,"L",7,0.065845056,"MM24","A","16"
16,"L",14,0.16655028,"MM24","A","16"
16,"L",21,0.106379328,"MM24","A","16"
16,"R",1,0.005951736,"MM24","A","16"
16,"R",7,0.009913776,"MM24","A","16"
16,"R",14,0.024477888,"MM24","A","16"
16,"R",21,0.029284392,"MM24","A","16"
22,"L",1,0.01003524,"MM24","A","16"
22,"L",7,0.230342016,"MM24","A","16"
22,"L",14,0.14448432,"MM24","A","16"
22,"L",21,0.08913144,"MM24","A","16"
22,"R",1,0.004604064,"MM24","A","16"
22,"R",7,0.008369448,"MM24","A","16"
22,"R",14,0.009520464,"MM24","A","16"
22,"R",21,0.0062178,"MM24","A","16"
16,"L",1,0.005055216,"MM24","B","16"
16,"L",7,0.08305824,"MM24","B","16"
16,"L",14,0.149423856,"MM24","B","16"
16,"L",21,0.05526612,"MM24","B","16"
16,"R",1,0.00416448,"MM24","B","16"
16,"R",7,0.004835424,"MM24","B","16"
16,"R",14,0.006021144,"MM24","B","16"
16,"R",21,0.003343152,"MM24","B","16"
22,"L",1,0.009942696,"MM24","B","16"
22,"L",7,0.19136364,"MM24","B","16"
22,"L",14,0.122817456,"MM24","B","16"
22,"L",21,0.079969584,"MM24","B","16"
22,"R",1,0.007669584,"MM24","B","16"
22,"R",7,0.00792408,"MM24","B","16"
22,"R",14,0.008814816,"MM24","B","16"
22,"R",21,0.006119472,"MM24","B","16"
16,"L",1,0.003429912,"MM24","C","16"
16,"L",7,0.187505712,"MM24","C","16"
16,"L",14,0.121099608,"MM24","C","16"
16,"L",21,0.027173232,"MM24","C","16"
16,"R",1,0.00543696,"MM24","C","16"
16,"R",7,0.005066784,"MM24","C","16"
16,"R",14,0.0044826,"MM24","C","16"
16,"R",21,0.002192136,"MM24","C","16"
22,"L",1,0.004204968,"MM24","C","16"
22,"L",7,0.22375404,"MM24","C","16"
22,"L",14,0.128543616,"MM24","C","16"
22,"L",21,0.026484936,"MM24","C","16"
22,"R",1,0.005384904,"MM24","C","16"
22,"R",7,0.005286576,"MM24","C","16"
22,"R",14,0.006235152,"MM24","C","16"
22,"R",21,0.002828376,"MM24","C","16"
16,"L",1,0.002290464,"MM24","F","16"
16,"L",7,0.069945912,"MM24","F","16"
16,"L",14,0.080374464,"MM24","F","16"
16,"L",21,0.031864056,"MM24","F","16"
16,"R",1,0.005066784,"MM24","F","16"
16,"R",7,0.003695976,"MM24","F","16"
16,"R",14,0.002180568,"MM24","F","16"
16,"R",21,0.002163216,"MM24","F","16"
22,"L",1,0.004245456,"MM24","F","16"
22,"L",7,0.127560336,"MM24","F","16"
22,"L",14,0.0685404,"MM24","F","16"
22,"L",21,0.029781816,"MM24","F","16"
22,"R",1,0.004158696,"MM24","F","16"
22,"R",7,0.005170896,"MM24","F","16"
22,"R",14,0.002319384,"MM24","F","16"
22,"R",21,0.00283416,"MM24","F","16"
16,"L",1,0.002961408,"MM24","B","22"
16,"L",7,0.045710952,"MM24","B","22"
16,"L",14,0.164549016,"MM24","B","22"
16,"L",21,0.068991552,"MM24","B","22"
16,"R",1,0.007334112,"MM24","B","22"
16,"R",7,0.001631088,"MM24","B","22"
16,"R",14,0.001515408,"MM24","B","22"
16,"R",21,0.000613104,"MM24","B","22"
22,"L",1,0.007299408,"MM24","B","22"
22,"L",7,0.184127856,"MM24","B","22"
22,"L",14,0.116796312,"MM24","B","22"
22,"L",21,0.013904736,"MM24","B","22"
22,"R",1,0.004390056,"MM24","B","22"
22,"R",7,0.002099592,"MM24","B","22"
22,"R",14,0.00176412,"MM24","B","22"
22,"R",21,0.001521192,"MM24","B","22"
16,"L",1,0.000219792,"MM24","C","22"
16,"L",7,0.091867272,"MM24","C","22"
16,"L",14,0.189506976,"MM24","C","22"
16,"L",21,0.09049068,"MM24","C","22"
16,"R",1,0.000225576,"MM24","C","22"
16,"R",7,0.005309712,"MM24","C","22"
16,"R",14,0.002533392,"MM24","C","22"
16,"R",21,0.001746768,"MM24","C","22"
22,"L",1,0.00214008,"MM24","C","22"
22,"L",7,0.22395648,"MM24","C","22"
22,"L",14,0.135796752,"MM24","C","22"
22,"L",21,0.045248232,"MM24","C","22"
22,"R",1,0.003649704,"MM24","C","22"
22,"R",7,0.006663168,"MM24","C","22"
22,"R",14,0.00240036,"MM24","C","22"
22,"R",21,0.004447896,"MM24","C","22"
16,"L",1,0.007091184,"MM24","F","22"
16,"L",7,0.055879224,"MM24","F","22"
16,"L",14,0.175665864,"MM24","F","22"
16,"L",21,0.117149136,"MM24","F","22"
16,"R",1,0.005662536,"MM24","F","22"
16,"R",7,0.001740984,"MM24","F","22"
16,"R",14,0.00422232,"MM24","F","22"
16,"R",21,0.004604064,"MM24","F","22"
22,"L",1,0.012516576,"MM24","F","22"
22,"L",7,0.247138752,"MM24","F","22"
22,"L",14,0.124425408,"MM24","F","22"
22,"L",21,0.080819832,"MM24","F","22"
22,"R",1,0.006443376,"MM24","F","22"
22,"R",7,0.002811024,"MM24","F","22"
22,"R",14,0.002128512,"MM24","F","22"
22,"R",21,0.003707544,"MM24","F","22"
16,"L",1,0.002984544,"MM26","A","16"
16,"L",7,0.052154328,"MM26","A","16"
16,"L",14,0.245490312,"MM26","A","16"
16,"L",21,0.113725008,"MM26","A","16"
16,"R",1,0.005546856,"MM26","A","16"
16,"R",7,0.005662536,"MM26","A","16"
16,"R",14,0.004980024,"MM26","A","16"
16,"R",21,0.005974872,"MM26","A","16"
22,"L",1,0.002926704,"MM26","A","16"
22,"L",7,0.224049024,"MM26","A","16"
22,"L",14,0.160176312,"MM26","A","16"
22,"L",21,0.040181448,"MM26","A","16"
22,"R",1,0.002411928,"MM26","A","16"
22,"R",7,0.007397736,"MM26","A","16"
22,"R",14,0.004147128,"MM26","A","16"
22,"R",21,0.01017984,"MM26","A","16"
16,"L",1,0.002625936,"MM30","A","16"
16,"L",7,0.060622104,"MM30","A","16"
16,"L",14,0.148278624,"MM30","A","16"
16,"L",21,0.094487424,"MM30","A","16"
16,"R",1,0.00321012,"MM30","A","16"
16,"R",7,0.002267328,"MM30","A","16"
16,"R",14,0.003505104,"MM30","A","16"
16,"R",21,0.00494532,"MM30","A","16"
22,"L",1,0.00268956,"MM30","A","16"
22,"L",7,0.232846488,"MM30","A","16"
22,"L",14,0.095516976,"MM30","A","16"
22,"L",21,0.057122784,"MM30","A","16"
22,"R",1,0.00523452,"MM30","A","16"
22,"R",7,0.010041024,"MM30","A","16"
22,"R",14,0.005922816,"MM30","A","16"
22,"R",21,0.006264072,"MM30","A","16"
16,"L",1,0.011226744,"MM31","A","16"
16,"L",7,0.04242564,"MM31","A","16"
16,"L",14,0.234003288,"MM31","A","16"
16,"L",21,0.09740256,"MM31","A","16"
16,"R",1,0.0056394,"MM31","A","16"
16,"R",7,0.006038496,"MM31","A","16"
16,"R",14,0.017704824,"MM31","A","16"
16,"R",21,0.02093808,"MM31","A","16"
22,"L",1,0.011429184,"MM31","A","16"
22,"L",7,0.271136568,"MM31","A","16"
22,"L",14,0.1057026,"MM31","A","16"
22,"L",21,0.015749832,"MM31","A","16"
22,"R",1,0.007386168,"MM31","A","16"
22,"R",7,0.005674104,"MM31","A","16"
22,"R",14,0.007131672,"MM31","A","16"
22,"R",21,0.00381744,"MM31","A","16"
16,"L",1,0.00367284,"MM31","B","16"
16,"L",7,0.065839272,"MM31","B","16"
16,"L",14,0.105812496,"MM31","B","16"
16,"L",21,0.055399152,"MM31","B","16"
16,"R",1,0.002903568,"MM31","B","16"
16,"R",7,0.002816808,"MM31","B","16"
16,"R",14,0.001723632,"MM31","B","16"
16,"R",21,0.002105376,"MM31","B","16"
22,"L",1,0.006200448,"MM31","B","16"
22,"L",7,0.053409456,"MM31","B","16"
22,"L",14,0.13575048,"MM31","B","16"
22,"L",21,0.065255088,"MM31","B","16"
22,"R",1,0.004881696,"MM31","B","16"
22,"R",7,0.00384636,"MM31","B","16"
22,"R",14,0.003227472,"MM31","B","16"
22,"R",21,0.002695344,"MM31","B","16"
16,"L",1,0.001324536,"MM31","C","16"
16,"L",7,0.0235698,"MM31","C","16"
16,"L",14,0.142471488,"MM31","C","16"
16,"L",21,0.086881464,"MM31","C","16"
16,"R",1,0.004314864,"MM31","C","16"
16,"R",7,0.001179936,"MM31","C","16"
16,"R",14,0.00471396,"MM31","C","16"
16,"R",21,0.003337368,"MM31","C","16"
22,"L",1,0.006067416,"MM31","C","16"
22,"L",7,0.039452664,"MM31","C","16"
22,"L",14,0.134570544,"MM31","C","16"
22,"L",21,0.037723248,"MM31","C","16"
22,"R",1,0.003869496,"MM31","C","16"
22,"R",7,0.0026028,"MM31","C","16"
22,"R",14,0.005703024,"MM31","C","16"
22,"R",21,0.0053502,"MM31","C","16"
16,"L",1,0.003320016,"MM31","F","16"
16,"L",7,0.173415888,"MM31","F","16"
16,"L",14,0.078772296,"MM31","F","16"
16,"L",21,0.06642924,"MM31","F","16"
16,"R",1,0.006113688,"MM31","F","16"
16,"R",7,0.005512152,"MM31","F","16"
16,"R",14,0.004933752,"MM31","F","16"
16,"R",21,0.003609216,"MM31","F","16"
22,"L",1,0.00740352,"MM31","F","16"
22,"L",7,0.270610224,"MM31","F","16"
